_id,idpalabra,letra,palabra,descripcion
1,1,A,a donde,kan
2,2,A,a,a
3,3,A,a alguna parte,kanaj
4,4,A,a buen tiempo,kualkan
5,5,A,a cada uno,sesenyaka
6,6,A,a continuacion ,niman
7,7,A,a cual,kanyepan
8,8,A,a curoña,korunia
9,9,A,a el ,kin-
10,10,A,a la,masnekapali
11,11,A,a la derecha,yakanatli
12,12,A,a la fiesta,ihuitaj
13,13,A,a la luz de ,itahuilcan
14,14,A,a la sombra,itasejcanyo
15,15,A,a lado izquierdo de,iyopochcampa
16,16,A,a los lados,tlamak
17,17,A,a los pies de ,ijxipan
18,18,A,a menudo,achika
19,19,A,a mi,nech-
20,20,A,a nosotros,tech-
21,21,A,a poco no,anomo
22,22,A,a su medida,iyompaya
23,23,A,a través de,tika
24,24,A,a ustedes,amech-
25,25,A,a veces,kemanian
26,26,A,"a, hacia",kana
27,27,A,"a, hacia, al",kanapa
28,28,A,abaceria,xiukaloyan
29,29,A,abacero,xiukani
30,30,A,abad,teoyotika tepachoani
31,31,A,abadesa,siuateoyotika tepachoani
32,32,A,abadia,teoyotika tepacholistli
33,33,A,abajo,tlani
34,34,A,abalanzar,kuitlaxeloa
35,35,A,aballestar,tepostlauitoloa
36,36,A,abanderado,pamitlani
37,37,A,abanderado,pantlani
38,38,A,abanderamiento,pantlanilistli
39,39,A,abanderar,pantlania
40,40,A,abanicar,aaketsa
41,41,A,abanico,aaketsali
42,42,A,abarca,mekakaktli
43,43,A,abarcar,malkochka
44,44,A,abasto,kualonilistli
45,45,A,abatanar,uateki
46,46,A,abatible,tlachitlasaki
47,47,A,abatimiento,nepilotiuechilistli
48,48,A,abceso,kuetlaxsauatl
49,49,A,abdomen,kuitlatekomatl
50,50,A,abedecer,tlakamati
51,51,A,abeja,pipiyoli
52,52,A,abeja negra ,calnec  
53,53,A,abeja reina,kuausayoli
54,54,A,abejaruco,xikotototl
55,55,A,abejorro,xikotli
56,56,A,abertura,tlapouilistli
57,57,A,abertura de boca,kamachololistli
58,58,A,abeto,osokotl
59,59,A,abeto blanco ,akxoyatl
60,60,A,abierto,tlapouki
61,61,A,ablandado,tlatilili
62,62,A,ablandar,yamania
63,63,A,ablandar el corazon,yolpapatstia
64,64,A,abogacia,tepantlajtolistli
65,65,A,abogado,tepantlajtoani
66,66,A,abolicion,amoixnauatilistli
67,67,A,abolidor,amoixnauatini
68,68,A,abolir,amoixnauatia
69,69,A,abollado,tlapatsoli
70,70,A,abolladura,tlapatsolistli
71,71,A,abominable,tlatelchiualoni
72,72,A,abominar,tlatelchiua
73,73,A,abonado,tlalkualitoli
74,74,A,abonar,yetlakualkuanti
75,75,A,abonar la tierra,kualitoa
76,76,A,abono,cuita
77,77,A,abono,kuitlasoli
78,78,A,abortado,tlaxili
79,79,A,abortar,tlatlaxilia
80,80,A,aborto,tlatlaxilistli
81,81,A,abotonar,totomiliui
82,82,A,abrazador,napaloani
83,83,A,abrazar,napaloa
