Page_Line;Version;EVAtxt
f1r.P1.1;H;       fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-
f1r.P1.1;N;       fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!-
f1r.P1.1;U;       fya!ys.ykal.ar.ytaiin.shol.shory.***!r*s.y.kor.sholdo*-
f1r.P1.2;H;       sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-
f1r.P1.2;N;       sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!-
f1r.P1.2;U;       sory.ckhar.o!r!y.kair.chtaiin.shor.ary.cthar.cthar.dan*-
f1r.P1.3;H;       syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-
f1r.P1.3;N;       syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa-
f1r.P1.3;U;       syaiir.shcky.or.ykaiin.shod.cthoary.cthes.daraiin.sy-
f1r.P1.4;H;       ooiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan-
f1r.P1.4;N;       ooiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan-
f1r.P1.4;U;       ooiin.oteey.otear.roloty.cthaar.daiin.okaiin.or.okan-
f1r.P1.5;H;       dair.y.chear.cthaiin.cphar.cfhaiin=
f1r.P1.5;N;       sair.y.chear.cthaiin.cphar.cfhaiin=
f1r.P1.5;X;       sair.y.chear.cthaiin.cphar.cfhaiin=
f1r.P1.5;U;       sair!y.chear.cthaiin.cphar.cfhaiin=
f1r.T1.6;H;       ydar!aish!!!y=
f1r.T1.6;N;       ydar!aish!!!y=
f1r.T1.6;X;       ydar.aishy=
f1r.T1.6;U;       ydar!aish!!!y=
f1r.P2.7;H;       *.odar.o.!!!!y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-
f1r.P2.7;N;       *.odar.sy.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-
f1r.P2.7;U;       *.odar.sy.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary-
f1r.P2.8;H;       yshey.shody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-
f1r.P2.8;N;       yshey.shody.okcho!y.otchol.chocthy.os.chy.dain.chor.kos-
f1r.P2.8;U;       yshey.chody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos-
f1r.P2.9;H;       daiin.shos.cfhol.shody=
f1r.P2.9;N;       daiin.shos.cfhol.shody=
f1r.P2.9;X;       daiin.sh**.cfhol.shody=
f1r.P2.9;U;       daiin.shos.cfhol.shody=
f1r.T2.10;H;      dain.os.teody=
f1r.T2.10;N;      dain.os.teody=
f1r.T2.10;X;      dain.!s.teody=
f1r.T2.10;U;      dain.*s.teody=
f1r.P3.11;H;      *.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal!es-
f1r.P3.11;N;      *.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal.es-
f1r.P3.11;U;      *.ydain.cphesaiin.ol!s.cphey.ytain.shoshy.cphodal!es-
f1r.P3.12;H;      oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-
f1r.P3.12;N;      oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-
f1r.P3.12;U;      oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin-
f1r.P3.13;H;      shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d!-
f1r.P3.13;N;      shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d!-
f1r.P3.13;U;      shoy.ckhey.kodaiin.cphy.cphoda**ls.cthey.shy.oldain.d*-
f1r.P3.14;H;      dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-
f1r.P3.14;N;      dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!-
f1r.P3.14;U;      dain.oiin.chol.odaiin.chodain.chdy.okain.d*n.cthy.kod*-
f1r.P3.15;H;      daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal-
f1r.P3.15;N;      daiin.shckhey.ck!!!!eor.chor.shey.kol.chol.chol.kor.chal-
f1r.P3.15;U;      daiin.shckhey.ck!!!!hor.chor.shey.kol.chol.chol.kor.chol-
f1r.P3.16;H;      sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-
f1r.P3.16;N;      sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kchom-
f1r.P3.16;U;      sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.keeam-
f1r.P3.17;H;      ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy-
f1r.P3.17;N;      ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy-
f1r.P3.17;U;      ycho.tchey.chetain.sheo.pshol.dydyd.cthy.daicthy-
f1r.P3.18;H;      yto.shol.she.kodshey.cphealy.das!ain.dain.ckhyds-
f1r.P3.18;N;      yto.shol.she.kodshey.cphealy.das.ain.dain.ckhyds-
f1r.P3.18;U;      yto.shol.shy.kodshey.cphealy.dar!ain.dain.ckhyd*-
f1r.P3.19;H;      dchar.shcthaiin.okaiir.chey.rchy.!potol.cthols.dlocta-
f1r.P3.19;N;      dchar.shcthaiin.okaiir.chey.*chy.!!!tol.cthols.dloct!!!!a-
f1r.P3.19;U;      dchar.shcthaiin.okaiir.chey.*chy.*p*tol.cthols.d*oct!!!!*-
f1r.P3.20;H;      shok.chor.chey.dain.ckhey=
f1r.P3.20;N;      shok.chor.chey.dain.ckhey=
f1r.P3.20;X;      shok.chor.chey.dain.ckhoy=
f1r.P3.20;U;      shok.chor.chey.dain.ckhey=
f1r.T3.21;H;      otol.daiiin=
f1r.T3.21;N;      otol.daiiin=
f1r.T3.21;X;      otol.daiiin=
f1r.T3.21;U;      otol.daiiin=
f1r.P4.22;H;      cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-
f1r.P4.22;N;      cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*-
f1r.P4.22;U;      cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha!ro!d*-
f1r.P4.23;H;      *doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cth!ar!!!-
f1r.P4.23;N;      *doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cth!ar!!!-
f1r.P4.23;U;      ydoin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cth!ar.**-
f1r.P4.24;H;      !cho*!o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar-
f1r.P4.24;N;      !cho.*o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar-
f1r.P4.24;U;      !cho*!o.kaiin.sh*aiin.okol.daiin.far.cthol.daiin.ctholdar-
f1r.P4.25;H;      ycheey.oka!y.oky.daiin.okchey.k!okaiin.**chol.k**chy.dal-
f1r.P4.25;N;      ycheey.oka!y.oky.daiin.okchey.k!okaiin.**chol.k**chy.dal-
f1r.P4.25;U;      ocheey.ok*!*.oky.daiin.okchey.k!okaiin.*!chol.ka*ch*.dal-
f1r.P4.26;H;      d*eeo.shody.koshey.cthy.ok!chey.keey.keey.dal.chtor-
f1r.P4.26;N;      d*eeo.shody.koshey.cthy.ok.chey.keey.keey.dal.chtor-
f1r.P4.26;U;      dcheo.shody.kochey.cthy.ok!chey.keey.keey.dal.chtor-
f1r.P4.27;H;      !*eo!.chol.chok.choty.chotey=
f1r.P4.27;N;      e*eo!.chol.chok.choty.chotey=
f1r.P4.27;X;      ch!o!.chol.chok.choty.chotey=
f1r.P4.27;U;      cheor.chol.chok.choty.chotey=
f1r.T4.28;H;      dchaiin=
f1r.T4.28;N;      dchaiin=
f1r.T4.28;X;      dchaiin=
f1r.T4.28;U;      dchaiin=
f1v.P.1;H;        kchsy.chadaiin.ol-oltchey.char.cfhar.am-
f1v.P.2;H;        yteeay.char.or.ochy-dcho.lkody.okodar.chody-
f1v.P.3;H;        d!o.ckhy.ckho.ckhy.shy-dksheey.cthy.kotchody.dal-
f1v.P.4;H;        dol.chokeo.dair.dam-sochey.chokody=
f1v.P.5;H;        potoy.shol.dair.cphoal-dar.chey.tody.otoaiin.shoshy-
f1v.P.6;H;        choky.chol.cthol.shol.okal-dolchey.chodo.lol.chy.cthy-
f1v.P.7;H;        qo.ol.choeee.cheol.dol.cthey-ykol.dol.dolo.ykol.do.l!ch!!ody-
f1v.P.8;H;        okol.shol.kol.kechy.chol.ky-chol.cthol.chody.chol.daiin-
f1v.P.9;H;        shor.okol.chol.dol.ky.dar-shol.dchor.otcho.dar.shody-
f1v.P.10;H;       taor.chotchey.dal.chody-schody.pol.chodar=
f2r.P.1;H;        kydainy.ypchol.daiin.otchal-ypchaiin.ckholsy-
f2r.P.2;H;        dorchory-chkar.s-shor.cthy.cth!-
f2r.P.3;H;        qotaiin-cthey.y-chor.chy.ydy-chaiin-
f2r.P.4;H;        chaindy-chtod.dy-cphy.dal!s-chokaiin.d-
f2r.P.5;H;        otochor.al-shodaiin-chol.!dan-ytchaiin.dan-
f2r.P.6;H;        saiin.daind-d!kol.sor-ytoldy-dchol.dchy.cthy-
f2r.P.7;H;        shor.ckhy.daiiny-chol.dan=
f2r.P.8;H;        kydain.shaiin.qoy.s.shol.fodan-yksh.olsheey.daiildy-
f2r.P.9;H;        dlssho.kol.sheey.qokey.ykody.so-chol.yky.dain.daiirol-
f2r.P.10;H;       qoky.cholaiin.shol.sheky.daiin-cthey.keol.s!aiin.saiin-
f2r.P.11;H;       ychain.dal.chy.dalor.shan.dan-olsaiin.sheey.ckhor-
f2r.P.12;H;       okol.chy.chor.cthor.yor.an.chan-saiin.chety.chyky.sal-
f2r.P.13;H;       sho.ykeey.chey.daiin.chcthy=
f2r.L.1;U;        ytoain=
f2v.P.1;H;        kooiin.cheo.pchor.otaiin.o.dain.chor-dair.shty-
f2v.P.1;U;        kaoiin.cheo.pchor.otaiin.o!dain.chor-dair.shty-
f2v.P.2;H;        kcho.kchy.sho.shol.qotcho.loeees.qoty-chor.daiin-
f2v.P.2;U;        kch*.kchy.sho.shol.qotsho.loeees.qoty-chor.daiin-
f2v.P.3;H;        otchy.chor.lshy.chol.chody.chodain-chcthy.daiin-
