_id,idpalabra,letra,palabra,descripcion
1,1,A,a bad example,tlapolotia
2,2,A,a bit not,anomo
3,3,A,a few days ago,iquino
4,4,A,a good time,kualkan
5,5,A,a little more,ok achi
6,6,A,"a minute, a time",achitsinka
7,7,A,a pronoun,tej-
8,8,A,a short time before,yeyeua
9,9,A,abbess,siuateoyotika tepachoani
10,10,A,abbey,teoyotika tepacholistli
11,11,A,abbot,teoyotika tepachoani
12,12,A,abbreviate,ilochtia
13,13,A,abbreviated,tlailochtili
14,14,A,abbreviation,tlailochtilistli
15,15,A,abedecer,tlakamati
16,16,A,abide,ixtilia
17,17,A,ability,yolokayotl
18,18,A,able,uelitini
19,19,A,abolidor,amoixnauatini
20,20,A,abolish,amoixnauatia
21,21,A,abolition,amoixnauatilistli
22,22,A,abominable,tlatelchiualoni
23,23,A,abominate,tlatelchiua
24,24,A,abort,tlatlaxilia
25,25,A,aborted,tlaxili
26,26,A,abortion,tlatlaxilistli
27,27,A,abound,axkauia
28,28,A,abrasion,tlachikilistli
29,29,A,abrazador,napaloani
30,30,A,abrego,amilpampa ejekatl
31,31,A,abrogated,nemimiloli
32,32,A,abrotoñar,xochilia
33,33,A,abscess,kuetlaxsauatl
34,34,A,absent,amoixpani
35,35,A,absolute,nouanyotl
36,36,A,abstinence,saualistli
37,37,A,abundance,axkauilistli
38,38,A,abundant,axkauak
39,39,A,academy,toltekali
40,40,A,acajuatla,akaxotlan
41,41,A,acamaya,akamayatl
42,42,A,acantiliado sea,xaxamakatimani
43,43,A,"acaponeta , nayarit",akapolnetlan
44,44,A,acapulco,akapolko
45,45,A,acapulqueño,akapolkatl
46,46,A,acatzingo,akatsinko
47,47,A,acaudillar,nitemana
48,48,A,acayuca,akayokan
49,49,A,accelerate,akaninotlalia
50,50,A,acceleration,nemosiuilistli
51,51,A,accept,ixitta
52,52,A,accepted,neyolomaxili
53,53,A,access,kalokoayan
54,54,A,access to the city,altepekalokoayan
55,55,A,accessed,netolnotsali
56,56,A,accessory,tlakakoskatl
57,57,A,accommodate,aki
58,58,A,accompanied,tlatlayeloak
59,59,A,accompaniment,tetlayelistli
60,60,A,accompany,tlanika
61,61,A,accordance,sematilistli
62,62,A,accordion,akordioni
63,63,A,account,pouali
64,64,A,accounting,tlapoukayotl
65,65,A,accusation,tlateixpauilistli
66,66,A,accuse,teixpouilia
67,67,A,accused,tlateixpauili
68,68,A,accuser,teteixpauiani
69,69,A,accustom,tiknemitia: acostumbrar
70,70,A,acedarse,xokoya
71,71,A,acelote,tlaloselotl
72,72,A,achieve,asi
73,73,A,achieved,tlamauitsoli
74,74,A,achievement,tlamamitsolistli
75,75,A,achiote,achiotl
76,76,A,acknowledged,tlaselili
77,77,A,acocote,akokotli
78,78,A,acolman,akolmán
79,79,A,acorn,auatomatl
80,80,A,acropolis,akopaltepet
81,81,A,across,sentlapa
82,82,A,across the road,nepa ojtli
83,83,A,act,ainilistli
84,84,A,active,aini
85,85,A,actopan hidalgo,atokpan
86,86,A,acute,tenatik
87,87,A,ad,motsikoa
88,88,A,adapter,yaitlayolo
89,89,A,add,axiltia
90,90,A,add egg,atetlasa
91,91,A,"add, add",setilia
92,92,A,added,saliui
93,93,A,addition,tlatlapilualistli
94,94,A,addressed,tlamalaualili
95,95,A,adduced,ijkuaili
96,96,A,adeherir,tsitsini
97,97,A,adequate time,maxilia
98,98,A,adivianza,sasanilistli
99,99,A,adjective,tlajtouali
100,100,A,adjust,namiki
101,101,A,administar,pixkua
102,102,A,administration,tetlamamakilistli
103,103,A,administrative,tetlamamakili
104,104,A,administrator,pouani
105,105,A,admirable,mauitstik
106,106,A,admiration,tlamatsauilistli
107,107,A,admire,itsauia
108,108,A,admit,uelkaktia
109,109,A,admonish,yolnaxilitia
110,110,A,admonished,teyolmaxilitili
111,111,A,adobe,xakamitl
112,112,A,adolescence,okichpilkayotl
113,113,A,adopt,piltsintia
114,114,A,adopted,netepitsintili
115,115,A,adoption,netepitsintilistli
116,116,A,adorable,neteotiloani
117,117,A,adueñar,axkatia
118,118,A,adult,ueueyi
119,119,A,adulterer,tlaxinki
120,120,A,adultery,tetlaximalistli
121,121,A,advance,tototsa
122,122,A,advantage,ontekixtilistli
123,123,A,advent,ualalistli
124,124,A,adventure,tetsauyotl
125,125,A,adventurous,tetsauyo
126,126,A,advice,kakilistli
127,127,A,advise,tlajtolnamiki
128,128,A,advised,tlatolnamiktli
129,129,A,advocacy,tepantlajtolistli
130,130,A,adze,matepostli
131,131,A,aerolite,sitlalminatetl
132,132,A,afamar,teneua
133,133,A,affability,ekpiltikayotl
134,134,A,affirmation,igahua
135,135,A,affliction,eleli
136,136,A,afganistan,afgania
137,137,A,afghan,afganekatl
138,138,A,afghan language,afganitlajtoli
139,139,A,aforementioned,tenauatili
140,140,A,africa,afrika
141,141,A,african,afrikanekatl
142,142,A,african lioness,siuamolotl
143,143,A,after,kintepan
144,144,A,after birth,iyonolis
145,145,A,afternoon,teotlaktli
146,146,A,afudo sound,yolo
147,147,A,again,ayankuipan
148,148,A,agate,xikalchalchiuitl
149,149,A,agave,ixtli
150,150,A,agave liquor,meoktli
151,151,A,agave worm,meokuilin
152,152,A,age,seueuetilistli
153,153,A,age have,uekaua: tener edad
154,154,A,aged,solotik
155,155,A,aged cheese,soltlatetsautli
156,156,A,agglomerate,uipana
157,157,A,agglomerated,uipani
158,158,A,aggrandize,momauitsoa
159,159,A,aggrandizement,tlatleyotilistli
160,160,A,agitation,tlanelolistli
161,161,A,agitator,etsonki
162,162,A,ago,kuix yej xiutin
163,163,A,agonize,atlasa
164,164,A,agony,nemosiuilistli
165,165,A,agree,tlanamiki
166,166,A,agreement,tlanemililistli
167,167,A,agriculture,milakayotl
168,168,A,aguacatero,auakakuauitl
169,169,A,aguascalientes,aguaskalientes
170,170,A,aguautle,auautli
171,171,A,aguidez,tenakkayotl
172,172,A,aguila,koamichin
173,173,A,agusanar,okuilia
174,174,A,ahuacatlan,auakatlan
175,175,A,ahuehuete,aueuetl
176,176,A,ahuitzotl government tenochtitlan,auitsotl
177,177,A,aids,kta
178,178,A,ailing,anotstlani
179,179,A,aimlessly,auikpa
180,180,A,air,ejeca
181,181,A,ajacuba hidalgo,axakopan
182,182,A,ajecutar,aitia
183,183,A,ajoloapan,axoloapan
184,184,A,al dente,tlanxipetik
185,185,A,alabaster,tekali
186,186,A,alacran,colo
187,187,A,alarife,kalketski
188,188,A,alaska,alaskak
